Epoch,Train Loss,Validation Loss
0,224988942565376.0,43.638389587402344
100,5979578560413696.0,72.68004608154297
200,170116541054976.0,65.82247924804688
300,3.6058404805515674e+17,66.87964630126953
400,5953242357825536.0,57.80828857421875
500,10894098563072.0,46.401058197021484
600,171379882196992.0,36.69512176513672
700,2.0566944989933732e+18,39.77507781982422
800,1206539796873216.0,72.21603393554688
900,9.298247803395527e+23,40.854888916015625
1000,2.3099701635475046e+17,67.03058624267578
1100,7.133067941301453e+16,40.780670166015625
1200,1.9598532772102144e+16,76.58670043945312
1300,3.8428505198401946e+17,86.60616302490234
1400,2699416473436160.0,35.46804428100586
1500,461936751804416.0,49.65684509277344
1600,6954150126419968.0,52.027809143066406
1700,5115730177556480.0,47.62113952636719
1800,8269469902176256.0,47.939666748046875
1900,2.685924284647342e+17,36.561767578125
2000,5624645684297728.0,41.862247467041016
2100,1.980387730600755e+16,52.5391960144043
2200,1.5219714829582336e+19,80.42374420166016
2300,27142666584064.0,48.50339889526367
2400,3.955155530854433e+18,44.77349090576172
2500,905019536703488.0,77.25738525390625
2600,4.119890255622963e+16,75.24266052246094
2700,841296046456832.0,34.561798095703125
2800,1.990308289010729e+17,51.01564025878906
2900,7.994713113310003e+16,49.880027770996094
3000,10280933261312.0,64.32186889648438
3100,447222999154688.0,65.37429809570312
3200,2.714235615873138e+21,45.996734619140625
3300,4.8803358692992e+21,81.46304321289062
3400,76508316041216.0,47.42755126953125
3500,5.971631475051725e+16,55.84484100341797
3600,1.9421395435913216e+16,41.98780822753906
3700,1.4757468115356877e+17,68.33711242675781
3800,1.7208659500149129e+21,58.95759582519531
3900,6336753946329088.0,70.41053009033203
4000,1.8915836982984704e+16,98.36829376220703
4100,1.1236318205129523e+18,29.791656494140625
4200,8.451534424847155e+16,50.33849334716797
4300,180768395493376.0,49.11383056640625
4400,1429886820417536.0,58.347328186035156
4500,4.145209087832883e+16,36.66594696044922
4600,6.49200455867433e+16,64.38459014892578
4700,1148630081732608.0,87.9083251953125
4800,996553812606976.0,42.85283660888672
4900,1.0093655255678976e+16,55.47026824951172
5000,5702141607936.0,52.349029541015625
5100,205123997401088.0,83.59530639648438
5200,1.8077867818195354e+18,57.62479782104492
5300,128324890263552.0,45.749935150146484
5400,236264255127552.0,46.552101135253906
5500,6.27313259577344e+16,55.417293548583984
5600,1.3126287639969792e+17,45.19893264770508
5700,5558283607736320.0,138.34776306152344
5800,1200313033818112.0,59.2514762878418
5900,3.811100403601244e+17,56.19422149658203
6000,4.3169913935136555e+19,51.46538543701172
6100,2.4306946504916992e+17,98.05060577392578
6200,1022793781084160.0,54.7235221862793
6300,130622597103616.0,59.84181213378906
6400,1.822043023815475e+16,73.30651092529297
6500,9.518027079349908e+19,88.29935455322266
6600,2.0644809998231142e+17,99.86125183105469
6700,6056172322816000.0,71.68460083007812
6800,4650687761743872.0,82.66275024414062
6900,2.4761265998004224e+16,100.29713439941406
7000,1.125765689114624e+16,171.66416931152344
7100,182195985580032.0,102.91915130615234
7200,3.3226403872768e+16,98.04792022705078
7300,3476037023301632.0,106.72187805175781
7400,1.5028907686232064e+16,114.12371826171875
7500,534562803286016.0,136.41433715820312
7600,233718983688192.0,127.92350006103516
7700,39375408726016.0,138.59243774414062
7800,5.87384675203285e+17,166.34780883789062
7900,58398406082560.0,176.61959838867188
8000,1.5473870378316595e+17,184.9986572265625
8100,604833602076672.0,196.49520874023438
8200,2388391584858112.0,229.89089965820312
8300,433278381195264.0,223.3216552734375
8400,3.9203546134457876e+18,230.040283203125
8500,444458986373120.0,235.48483276367188
8600,8.802931984532767e+17,262.2088623046875
8700,262150912212992.0,323.530029296875
8800,2.8112200708986084e+21,296.3145751953125
8900,1.515037859554263e+17,366.8345642089844
9000,1.1112699597422592e+16,393.4908142089844
9100,2.365067550208819e+16,376.61517333984375
9200,1098739674513408.0,377.11602783203125
9300,3.135629178972406e+17,418.6898498535156
9400,361770531160064.0,499.873291015625
9500,6.506149775765668e+17,482.4117431640625
9600,1264473268551680.0,487.962890625
9700,3237027193552896.0,510.75750732421875
9800,2.837171360063889e+20,503.4946594238281
9900,34316675448832.0,614.0115966796875
