Epoch,Train Loss,Validation Loss
0,224988942565376.0,2265617797218304.0
100,5979578560413696.0,1.742604324038928e+19
200,170116541054976.0,1.0001240444370944e+16
300,3.6058404805515674e+17,2.316819090196398e+17
400,5953242357825536.0,1.9240031851905024e+16
500,10894098563072.0,479284426702848.0
600,171379882196992.0,4728012205457408.0
700,2.0566944989933732e+18,221877473640448.0
800,1206539796873216.0,5.251849502326784e+16
900,9.298247803395527e+23,603302580453376.0
1000,2.3099701635475046e+17,4.3921687968198164e+18
1100,7.133067941301453e+16,2342653404381184.0
1200,1.9598532772102144e+16,4.452827616373637e+17
1300,3.8428505198401946e+17,3.921907295662899e+16
1400,2699416473436160.0,5800752840704.0
1500,461936751804416.0,8214500226367488.0
1600,6954150126419968.0,2.314109412509221e+18
1700,5115730177556480.0,3.826811136271974e+16
1800,8269469902176256.0,1947363941810176.0
1900,2.685924284647342e+17,5319785185280.0
2000,5624645684297728.0,1865744530800640.0
2100,1.980387730600755e+16,3113269053095936.0
2200,1.5219714829582336e+19,5.466857369050808e+17
2300,27142666584064.0,670566533038080.0
2400,3.955155530854433e+18,7.074593679553331e+16
2500,905019536703488.0,1.1690596896027443e+17
2600,4.119890255622963e+16,1.916971914846064e+19
2700,841296046456832.0,23273748299776.0
2800,1.990308289010729e+17,3.0860516842799104e+16
2900,7.994713113310003e+16,102033273126912.0
3000,10280933261312.0,2646325845819392.0
3100,447222999154688.0,1.8973141725138125e+17
3200,2.714235615873138e+21,1.2202577613553664e+16
3300,4.8803358692992e+21,1.6455141556433715e+17
3400,76508316041216.0,2.2636858779788902e+17
3500,5.971631475051725e+16,6046433484472320.0
3600,1.9421395435913216e+16,2179331098935296.0
3700,1.4757468115356877e+17,7949043867058176.0
3800,1.7208659500149129e+21,2.7518895878349783e+18
3900,6336753946329088.0,3.219983023860613e+17
4000,1.8915836982984704e+16,5.87749249949409e+21
4100,1.1236318205129523e+18,16625208131584.0
4200,8.451534424847155e+16,821788640542720.0
4300,180768395493376.0,5958508524601344.0
4400,1429886820417536.0,1.0847288657392435e+17
4500,4.145209087832883e+16,346458066780160.0
4600,6.49200455867433e+16,1.2725340760577147e+18
4700,1148630081732608.0,1.2974348533309112e+18
4800,996553812606976.0,984254368448512.0
4900,1.0093655255678976e+16,7.643626852854006e+17
5000,5702141607936.0,1.654094448033792e+16
5100,205123997401088.0,8.381492696043435e+19
5200,1.8077867818195354e+18,1.7579851722975609e+19
5300,128324890263552.0,1691378656477184.0
5400,236264255127552.0,557906084757504.0
5500,6.27313259577344e+16,1.413712107798528e+16
5600,1.3126287639969792e+17,3986114855567360.0
5700,5558283607736320.0,8.16752742365575e+22
5800,1200313033818112.0,2292702397857792.0
5900,3.811100403601244e+17,4629349290475520.0
6000,4.3169913935136555e+19,4.39784207066071e+16
6100,2.4306946504916992e+17,7.885392829688578e+18
6200,1022793781084160.0,2614964799930368.0
6300,130622597103616.0,1.9991835812298752e+17
6400,1.822043023815475e+16,5.419256160609894e+16
6500,9.518027079349908e+19,3.735409885706191e+18
6600,2.0644809998231142e+17,7.542647189562982e+16
6700,6056172322816000.0,175461057429504.0
6800,4650687761743872.0,9049517567508480.0
6900,2.4761265998004224e+16,1.9394729530160579e+18
7000,1.125765689114624e+16,2.947504174762411e+22
7100,182195985580032.0,1649127184138240.0
7200,3.3226403872768e+16,977013053587456.0
7300,3476037023301632.0,2379499123507200.0
7400,1.5028907686232064e+16,1073886376493056.0
7500,534562803286016.0,955312597106688.0
7600,233718983688192.0,436755861864448.0
7700,39375408726016.0,18696340766720.0
7800,5.87384675203285e+17,2.936999654635602e+17
7900,58398406082560.0,1.9940753189267046e+17
8000,1.5473870378316595e+17,2.680941263590523e+17
8100,604833602076672.0,8.499755397068882e+17
8200,2388391584858112.0,4.642055849000514e+19
8300,433278381195264.0,1.7051957541732352e+16
8400,3.9203546134457876e+18,2.950309457638195e+16
8500,444458986373120.0,7462646336978944.0
8600,8.802931984532767e+17,568423083933696.0
8700,262150912212992.0,1.0351524843022713e+19
8800,2.8112200708986084e+21,1731616326025216.0
8900,1.515037859554263e+17,2245158720503808.0
9000,1.1112699597422592e+16,1.788188097005591e+19
9100,2.365067550208819e+16,3.312436489874309e+17
9200,1098739674513408.0,1.3776834525134848e+16
9300,3.135629178972406e+17,3.655425362587812e+17
9400,361770531160064.0,1.079369894169097e+20
9500,6.506149775765668e+17,592397255835648.0
9600,1264473268551680.0,1307783852982272.0
9700,3237027193552896.0,7925884866527232.0
9800,2.837171360063889e+20,3.268935042465792e+16
9900,34316675448832.0,1414354473844736.0
